GeneID	logFC	logCPM	F	PValue	FDR
AT5G15960	-4.76209016820048	8.54068114281421	83.3351048160971	7.03361291100554e-20	2.02392211514184e-15
AT3G01500	3.38969284910295	9.47405422198583	61.1695819185552	5.28054217786677e-15	7.59738005840581e-11
AT4G26530	3.32076697794566	8.7779574522866	52.9965312816821	3.362586513529e-13	3.2252808975599e-09
AT5G14740	2.84760994953157	9.75226459121381	47.2422790257985	6.30501802690008e-12	4.53567234310125e-08
AT2G45180	2.67021337504011	10.1662757084164	43.8586994736201	3.54503080427203e-11	1.71258206982752e-07
AT5G52310	-2.74694904428317	9.7096884979482	43.6087902121728	4.02768713305826e-11	1.71258206982752e-07
AT3G27690	2.81442466126201	9.21395268628935	43.4871058823382	4.33427122754088e-11	1.71258206982752e-07
AT5G49730	4.0670660641336	6.90575030464635	43.2881727617191	4.76130549387322e-11	1.71258206982752e-07
AT5G52300	-2.89665160435908	8.66083574537793	40.855505672396	1.64534913744664e-10	4.77730357690789e-07
AT2G05440	2.70775911938849	9.85329774043585	41.9821437154422	1.66022713359093e-10	4.77730357690789e-07
AT1G61800	-4.38122783998577	6.61650077749698	38.8287067211626	4.64268130368394e-10	1.21448322285005e-06
AT2G27385	2.72612039851257	8.60762701365063	37.8798831590728	7.54841374456252e-10	1.81004671249822e-06
AT5G06760	-2.62267136546716	9.35682879823425	36.9272836380695	2.24592252836777e-09	4.97126313490635e-06
AT5G66400	-2.30904104603574	11.3779133053164	35.8134510704445	3.8546026488308e-09	7.92258508715045e-06
AT5G59310	-2.30242885808359	10.2083373711812	33.811177898637	6.08887146955445e-09	1.16804851024286e-05
AT5G02160	3.01946118658619	7.43932396900028	33.2057487937432	1.02661523871339e-08	1.84630334337361e-05
AT2G40170	-3.52495398704551	6.83136657337186	32.6697944672182	1.09490208062773e-08	1.85328278647429e-05
AT2G42560	-4.07215139838323	6.28788104634	31.0774878497157	2.4848391498372e-08	3.80680764626058e-05
AT3G15450	2.99521513553647	7.27640607037053	31.0904894749193	2.51361755965077e-08	3.80680764626058e-05
AT1G52690	-2.15080588671183	10.6177538095707	30.9004737218141	2.82643205896015e-08	3.88263140334785e-05
AT1G74670	3.73821795255025	6.41125007419244	30.8225506772778	2.83354507281685e-08	3.88263140334785e-05
AT4G36040	2.40366415248155	8.56852036696577	30.2086056081318	3.88804117888256e-08	5.08538113283389e-05
AT2G47770	-2.96910841907927	7.23574810937054	29.6906967582422	5.09252117024093e-08	6.37118681189925e-05
AT1G16850	-4.41231219230049	6.04849408742427	29.5193008499461	5.54745121008513e-08	6.65116285709165e-05
AT5G38410	1.96201261027713	12.1481577098277	29.2576091300757	6.34927642327337e-08	7.30801716318765e-05
AT1G71030	3.00642488138669	6.98795072661958	29.0232564480472	7.16544264623259e-08	7.93021585174395e-05
AT1G20450	-2.19747153286219	9.54207290749557	28.7082654400832	8.4304937865019e-08	8.98472069283674e-05
AT3G47470	1.90878996264549	12.5417426579981	28.4724667959596	9.52195510065865e-08	9.78550921505188e-05
AT2G14247	5.26812294942834	5.61081147062704	28.305742097745	1.03781232922661e-07	0.000100041602252321
AT5G09660	2.28052745733238	8.76118368589892	28.2605838524402	1.06230196910812e-07	0.000100041602252321
AT5G21940	3.150239183192	6.73992863912238	28.2325916008457	1.0777722571058e-07	0.000100041602252321
