"GeneID","logFC","logCPM","F","PValue","FDR","Expression"
"AT1G19960",3.14699901575873,5.5582537438952,16.9101203304918,3.92101825505047e-05,0.023579130441917,"Up-regulated (Royal CBDV)"
"AT1G10770",-4.79147932475996,1.5459524328912,16.9992987956442,3.92302072575086e-05,0.023579130441917,"Down-regulated (Solomatic)"
"AT1G73920",-1.98100039155237,7.1905558877454,16.9444625859121,3.93326936998094e-05,0.023579130441917,"Down-regulated (Solomatic)"
"AT3G01310",-1.70154266359757,9.67826578364249,16.626929678335,4.55207369007894e-05,0.0267318204963309,"Down-regulated (Solomatic)"
"AT4G02280",2.74984247206908,5.86609195759732,16.5271790207782,4.80313947707086e-05,0.0276420676905428,"Up-regulated (Royal CBDV)"
"AT1G27200",4.71712334007286,4.8005606606068,16.2988676927167,5.4385826620714e-05,0.0306853364904127,"Up-regulated (Royal CBDV)"
"AT3G08520",2.13873620114,6.83783355066272,16.1731974289925,5.79110815571173e-05,0.0320459879193471,"Up-regulated (Royal CBDV)"
"AT3G57010",2.63088179742967,5.93893812807332,16.1126210417338,5.9710118588891e-05,0.0324180879697234,"Up-regulated (Royal CBDV)"
"AT5G67300",2.3102916166037,6.45352784791667,16.016043530991,6.28508306541388e-05,0.0326867282288145,"Up-regulated (Royal CBDV)"
"AT1G20450",1.72514774572091,9.0220101473754,16.0005608314929,6.43049101237095e-05,0.0326867282288145,"Up-regulated (Royal CBDV)"
"AT2G37870",2.2948184275289,6.74321133520663,16.4149706391197,6.46618825906474e-05,0.0326867282288145,"Up-regulated (Royal CBDV)"
"AT3G61890",2.26003402826511,6.47358663786218,15.9623774557349,6.47486884115527e-05,0.0326867282288145,"Up-regulated (Royal CBDV)"
"AT3G12580",2.07650308077236,6.88705735674944,15.8304479348128,6.93247036268966e-05,0.0343934197735164,"Up-regulated (Royal CBDV)"
"AT1G17860",1.62272389508858,10.3608960251429,15.7975268393707,7.05432313701393e-05,0.0344047708928094,"Up-regulated (Royal CBDV)"
