"GeneID","logFC","logCPM","F","PValue","FDR"
"AT4G10340",1.63926108423392,11.5502916374686,20.0421550743385,7.58262538228523e-06,0.00316217457065591
"AT5G48490",2.6095343769677,6.67582781486173,19.8732318305237,8.28289659207254e-06,0.00340486213481268
"AT1G09340",2.09782107724519,7.74034951058856,19.6362827203239,9.37597087175271e-06,0.0037471328032595
"AT1G70850",2.10840572713662,7.56515130593575,18.9535286104145,1.34056701838381e-05,0.00507563367815712
"AT5G54270",1.57369325789921,11.8395793200154,18.9178703870223,1.36585429873204e-05,0.00510421525272916
"AT1G16880",2.23668729239416,7.19150218361905,18.8232334133027,1.43531430137624e-05,0.00529502166950016
"AT1G73330",2.83065956380275,6.17958724200884,18.7695472880361,1.47628392366721e-05,0.00531000873794049
"AT3G56970",6.23192226021277,4.84795948700539,18.5432270361732,1.66231578006566e-05,0.00583330933797431
"AT2G34430",1.69161579080937,9.7839067122028,18.3053622805935,1.8832842680148e-05,0.00652909696531636
"AT5G46110",1.69809474409191,9.32927760578754,17.6593680740947,2.64409608278908e-05,0.00864589372525635
"AT2G05100",1.52466827573129,11.6450377421545,17.5706312463412,2.77037259011586e-05,0.00895701924500942
"AT4G05180",1.71943885049813,9.06728892293508,17.5483064717407,2.80308484882969e-05,0.00896208516945272
"AT4G12980",3.48764983041553,5.51894758282253,17.4615972854841,2.93386323915511e-05,0.00927713348425145
"AT4G33666",2.0669283453518,7.41891266039048,17.4222647728789,3.00541221078027e-05,0.00929900391023681
"AT5G19190",4.05120997181506,5.23421482351261,17.3764825770988,3.06820014756349e-05,0.00939228289852546
"AT1G75460",2.73269745253021,6.09023918069271,17.3050486681441,3.18570529035661e-05,0.00964933365579069
"AT5G14120",2.864253085897,5.95478857793153,17.2302991947344,3.31351083727794e-05,0.00993190357736175
"AT1G28330",2.16418597231826,7.00465843462904,17.0296877834606,3.69690815696345e-05,0.0108198925686935
"AT1G80180",2.36501420481252,6.56242071798966,17.0029831281698,3.73830436378117e-05,0.0108198925686935
"AT5G17300",4.01942732838074,5.21469895989795,16.9900901521697,3.76017117938959e-05,0.0108198925686935
"AT5G64040",1.61502160426711,9.79944055682301,16.8295934187976,4.09187414946105e-05,0.01165778996542
"AT3G14415",1.64048195311083,9.32475337869529,16.5320379699531,4.78667277329544e-05,0.013434876708299
"AT3G15630",3.95618391983232,5.2211061241178,16.5232091176052,4.80900886517742e-05,0.013434876708299
"AT3G16140",1.59375592530301,9.70361850531858,16.2943090728655,5.42616043129396e-05,0.0150132467702388
"AT3G26740",1.80275152817753,8.07945784803338,16.0616494048523,6.14050803093138e-05,0.0166691621311368
"AT1G22690",3.03561762119707,5.72804679043731,15.7532012179575,7.22094613908465e-05,0.0190626353350606
"AT1G12240",2.61761137671662,6.03394408536764,15.5738316548531,7.93922252830069e-05,0.020397422165344
"AT2G22990",1.65948114212214,8.53330695728695,15.3142807067396,9.1078084166573e-05,0.022989226946431
"AT4G12800",1.41430205895757,11.5361766035201,15.0993604909126,0.000102054904378963,0.025099400628245
"AT1G47400",3.93332547286736,5.08877805468164,15.063379517125,0.00010401861072104,0.0253655552838806
"AT2G03440",2.16416914483374,6.73238288877161,14.9841182927073,0.000108479610960669,0.0258820668512338
"AT1G20190",5.94432154475544,4.65231069550621,14.9745520129289,0.000109030886201932,0.0258820668512338
"AT1G75750",1.55824024802269,9.28319463113262,14.9376779530667,0.000111182336915005,0.0260103393880428
"AT5G64770",2.34132147075684,6.32940760256953,14.9040090059889,0.000113184086289728,0.026265097443443
"AT2G27830",5.96240337060328,4.63593822977462,14.8330199215486,0.000117524355355661,0.0270541066028732
"AT4G37610",5.9346217565682,4.64033386916335,14.8052975026704,0.000119264447377535,0.0272367815340362
"AT5G38430",1.49604160747214,9.95272557778535,14.7198638966659,0.000124791819428082,0.0282746819215988
"AT4G27450",2.99853615595921,5.53494786995792,14.7038125400211,0.000125897746759006,0.0283024036171125
"AT2G21330",1.49495553180813,9.81777075983583,14.5936913884924,0.000133430224952519,0.0297632149070445
"AT4G33010",1.46422657095595,10.1276952357756,14.4275898484073,0.000145727500352814,0.0319697044511799
"AT4G31910",5.90310925124699,4.61522820455304,14.4205500982191,0.000146273188788802,0.0319697044511799
"AT1G14150",2.86817186793176,5.66924064989818,14.410114314423,0.000147085910063324,0.0319697044511799
"AT5G03545",3.50622919864845,5.23390178159822,14.4014243250078,0.000147766140469398,0.0319697044511799
"AT1G55670",1.3678916156521,11.5535984641186,14.1832254858379,0.000165924872574707,0.0353665793210162
"AT3G56650",4.39324232637672,4.86579228584626,13.9837284329835,0.000184488861136934,0.038783208215453
"AT3G54890",1.3976859118559,10.8406006041466,13.9684132719895,0.000185997662336491,0.038783208215453
"AT1G75690",1.69541051360911,7.91092564080379,13.9465057878121,0.000188177552177482,0.0389554608914177
"AT5G14880",4.34619562288486,4.89316897954904,13.7628656576505,0.000207492940165592,0.041824872445825
